id,name,gu_a3,Hydro,Geothermal,Solar,Wind,Biofuels/Waste,Fossil Fuels,Nuclear
1,Australia,AUS,5.18,0,0.11,1.99,1.62,91.1,0
2,Austria,AUT,58.48,0,0.13,2.9,7.08,31.39,0
3,Belgium,BEL,1.75,0,0.59,1.36,5.92,39.71,50.4
4,Canada,CAN,57.83,0,0.03,1.57,1.43,24.22,14.91
5,Chile,CHL,35.94,0,0,0.55,3.72,59.61,0
6,Czech Republic,CZE,3.93,0,0.72,0.39,2.55,59.82,32.59
7,Denmark,DNK,0.05,0,0.02,20.13,13.7,66.09,0
8,Estonia,EST,0.21,0,0,2.14,5.71,91.95,0
9,Finland,FIN,16.02,0,0.01,0.36,13.85,41.1,28.26
10,France,FRA,11.74,0,0.1,1.75,1.19,9.82,75.3
11,Germany,DEU,4.35,0,1.86,6.01,6.34,58.63,22.35
12,Greece,GRC,13.04,0,0.28,4.73,0.56,81.4,0
13,Hungary,HUN,0.5,0,0,1.43,6.55,49.34,42.17
14,Iceland,ISL,73.81,26.17,0,0,0,0.01,0
15,Ireland,IRL,2.71,0,0,9.84,1.11,86.34,0
16,Israel,ISR,0.05,0,0.12,0.01,0.06,99.7,0
17,Italy,ITA,18.01,1.78,0.63,3.02,3.84,72.46,0
18,Japan,JPN,8.1,0.24,0.34,0.35,2.1,63.12,25.75
19,South Korea,KOR,1.3,0,0.15,0.16,0.22,68.35,29.75
20,Luxembourg,LUX,31.97,0,0.46,1.2,2.81,63.57,0
21,Mexico,MEX,13.7,2.44,0.01,0.46,0.99,80.23,2.17
22,Netherlands,NLD,0.09,0,0.05,3.38,7.28,85.71,3.36
23,New Zealand,NZL,55.14,13.13,0,3.65,1.37,26.6,0
24,Norway,NOR,94.73,0,0,0.72,0.39,4.03,0
25,Poland,POL,2.21,0,0,1.06,4.15,92.58,0
26,Portugal,PRT,30.59,0.36,0.39,16.98,5.44,46.23,0
27,Slovakia,SVK,20.28,0,0.06,0.02,2.46,24.72,52.32
28,Slovenia,SVN,28.58,0,0.08,0,1.35,35.56,34.42
29,Spain,ESP,15.01,0,2.34,14.57,1.54,46.03,20.45
30,Sweden,SWE,44.75,0,0.01,2.36,9.01,4.96,38.91
31,Switzerland,CHE,55.77,0,0.12,0.05,3.58,1.64,38.83
32,Turkey,TUR,24.52,0.32,0,1.38,0.22,73.56,0
33,United Kingdom,GBR,1.77,0,0.01,2.67,3.51,75.74,16.3
34,United States,USA,6.54,0.4,0.09,2.17,1.72,69.89,19.16
